Id,Naughtiness,es-es,en-us
1,5,TR ¿Quien es más probable que mate a alguien? ¿<pr> o <pr>?,TR Who is more likely to kill someone? <pr> or <pr>?
2,5,TR ¿Quien es más probable que folle con un transexual? ¿<pr> o <pr>?,TR Who is more likely to fuck with a transsexual? <pr> or <pr>?
3,5,TR ¿Quien es más probable que trabaje en el McDonald's? ¿<pr> o <pr>?,TR Who is more likely to work at McDonald's? <pr> or <pr>?
4,5,TR ¿Quien es más probable que mate a alguien? ¿<pr> o <pr>?,TR Who is more likely to kill someone? <pr> or <pr>?
5,5,TR ¿Quien es más probable que folle con un transexual? ¿<pr> o <pr>?,TR Who is more likely to fuck with a transsexual? <pr> or <pr>?
6,5,TR ¿Quien es más probable que trabaje en el McDonald's? ¿<pr> o <pr>?,TR Who is more likely to work at McDonald's? <pr> or <pr>?
7,5,TR ¿Quien es más probable que mate a alguien? ¿<pr> o <pr>?,TR Who is more likely to kill someone? <pr> or <pr>?
8,5,TR ¿Quien es más probable que folle con un transexual? ¿<pr> o <pr>?,TR Who is more likely to fuck with a transsexual? <pr> or <pr>?
9,5,TR ¿Quien es más probable que trabaje en el McDonald's? ¿<pr> o <pr>?,TR Who is more likely to work at McDonald's? <pr> or <pr>?
10,5,TR ¿Quien es más probable que mate a alguien? ¿<pr> o <pr>?,TR Who is more likely to kill someone? <pr> or <pr>?
11,5,TR ¿Quien es más probable que folle con un transexual? ¿<pr> o <pr>?,TR Who is more likely to fuck with a transsexual? <pr> or <pr>?
12,5,TR ¿Quien es más probable que trabaje en el McDonald's? ¿<pr> o <pr>?,TR Who is more likely to work at McDonald's? <pr> or <pr>?
13,5,TR ¿Quien es más probable que mate a alguien? ¿<pr> o <pr>?,TR Who is more likely to kill someone? <pr> or <pr>?
14,5,TR ¿Quien es más probable que folle con un transexual? ¿<pr> o <pr>?,TR Who is more likely to fuck with a transsexual? <pr> or <pr>?
15,5,TR ¿Quien es más probable que trabaje en el McDonald's? ¿<pr> o <pr>?,TR Who is more likely to work at McDonald's? <pr> or <pr>?
